يشهد,29
اله,2274
انكم,18
شهداء,2
الانبياء,48
والاولياء,2
متم,3
كي,618
تعز,13
كلمة,33
ربي,163
ربوع,25
اعزها,1
الاسراء,9
انتحرتم,1
انتحرنا,3
بحياة,9
امواتها,1
احياء,14
ايها,630
القوم,156
متنا,19
فهيا,9
نستمع,1
يقول,186
فينا,250
الرثاء,9
عجزنا,2
حتي,1572
شكي,21
العجز,33
منا,198
وبكينا,2
ازدرانا,1
البكاء,121
وركعنا,1
اشماز,1
ركوع,2
ورجونا,1
استغاث,3
الرجاء,40
وارتمينا,1
طواغيت,4
بيت,142
ابيض,45
ملء,112
قلبه,114
الظلماء,43
ولعقنا,1
حذاء,12
شارون,8
صاح,71
مهلا,40
قطعتموني,1
الحذاء,5
انفت,5
تضمنا,1
الغبراء,5
قل,232
لايات,1
ياعروس,1
العوالي,33
حسن,216
لمقلتيك,2
الفداء,30
يخصي,1
الفحول,10
صفوة,15
قومي,86
تصدي,16
لمجرم,2
الحسناء,17
تلثم,10
الموت,639
تضحك,31
بشرا,16
يهرب,13
الزعماء,1
فتحت,57
بابها,29
الجنان,62
وهشت,1
وتلقتك,1
فاطم,4
الزهراء,18
لمن,327
دبجوا,1
الفتاوي,5
رويدا,32
رب,261
فتوي,11
تضج,18
السماء,387
يدعو,40
الجهاد,76
يصمت,9
حبر,22
ويراع,2
والكتب,14
والفقهاء,2
استفتاء,1
الدماءوقلت,1
لي,1751
السحر,117
البحر,612
واليل,125
والبدر,31
الكاءنات,36
المدماة,2
بالعشق,9
تحلم,34
تضاعف,4
تحب,46
وتكبر,4
وتولد,2
الفجر,347
قلت,479
الوتر,41
المتنفس,3
شوقا,89
وشعرا,6
وقلت,86
وارسلت,5
روحي,277
تعبر,36
الفضاء,118
المرصع,2
بالانهاية,1
تسال,79
الحب,1089
العيش,119
يا,5454
انت,1366
تنبشي,2
جرح,111
قديم,61
والف,34
سءال,81
عتيق,11
فاني,166
نسيت,71
الضماد,2
الاجابات,4
تبرات,6
نزوة,4
الشعراء,68
وعدت,54
زمرة,7
الاذكياء,2
يخوضون,2
هذي,559
الحياة,617
بدون,64
جواب,42
وياتزرون,1
النقود,20
ويرتشفون,1
ويستنشقون,1
وهذي,54
الثواني,11
اخذتنا,2
عبقر,8
جاءت,67
وكيف,233
استطاعت,4
عبور,10
الطريق,397
المدج,7
بالمال,14
والجاه,5
والعز,19
والياس,13
نفاذا,3
لقلبي,53
ويا,212
ويح,46
قلبي,882
سنين,54
تجمد,9
يعيش,47
الفتي,160
قلب,483
يدق,16
ودون,27
دماء,96
تسيل,45
تحنطت,1
لكني,156
ابح,4
فمشيت,3
يدر,34
مر,230
بي,538
اني,1284
فمن,261
اين,872
اقبلت,69
ترتجلين,1
القصاءد,86
تستمطرين,1
الكواكب,42
زخة,3
تثيرين,2
زوبعة,8
الرميم,9
انا,1917
تقاعدت,5
سيدتي,54
مطاردة,4
الوهم,139
عبر,178
صحاري,17
الخيال,100
رحلتي,26
تخوم,15
وعبر,7
بحار,39
المخاض,9
المليءة,11
موجا,7
عنيفا,6
لناس,73
كنت,1363
طوال,35
ومت,8
يفضح,18
السر,76
يحفر,11
القبر,82
اوغل,7
اليل,1208
فانطلقي,1
ودعي,22
المومياء,4
مسه,25
ينتفض,6
البدر,123
يتامل,6
المال,97
والباس,13
حسناء,35
اظنك,8
عدت,150
اشعر,45
بالحسن,26
النساء,184
الجواري,7
سواء,34
ولو,357
جءتني,5
صباي,12
منحتك,5
شعرا,88
جميلا,53
وحبا,7
طهورا,13
اتيت,105
يبس,4
الكرم,38
والطير,22
هاجر,17
والعمر,31
اقفر,3
ضلوعي,39
سوي,580
رزمة,3
نقود,7
فهل,245
كالاخريات,10
سبتك,3
ام,941
اغناك,3
همسة,16
الدر,83
شهقة,35
الماس,6
اتركيني,5
اطلت,17
الكلام,311
وادركني,1
ضوء,133
الصباحفقولي,1
القمر,148
انفك,17
بالامواج,2
والرغبات,2
يستعر,7
الرمل,194
تلمع,33
حباته,5
لجوز,1
الهند,44
راءحة,98
يعرف,131
الثمر,21
فقولي,16
الشجر,82
الغابة,74
موسيقي,20
طبول,8
تنتشي,12
الما,23
وعرس,5
ملءه,9
الكدر,10
ايا,102
لءلءتي,4
السمراء,13
اجمل,100
افضي,10
سفر,87
خطرت,19
فماجت,2
الانداء,4
والاهواء,3
والاشذاء,1
والصور,10
وجءت,17
اهدابي,9
الضجر,19
اظفاري,5
بركان,20
ينفجر,12
فيا,285
اعجب,20
ياتي,222
القدر,90
الاشياء,98
تحتضر,13
وانت,508
المولد,7
النضر,9
***,1563
اعتذر,13
القلب,715
مات,313
وحل,38
محله,4
حجر,93
الطهر,53
غاض,11
فلم,328
يلمح,8
وقولي,18
وهل,277
تدرين,34
الكلمات,134
زيف,37
كاذب,21
اشر,10
تحجب,6
الشهوات,13
يستعبد,2
البشر,132
اتيتك,28
صحبتي,3
الاوهام,41
والاسقام,2
والالام,10
والخور,3
وراءي,33
العمر,407
ناء,14
قرون,23
ثانية,66
التاريخ,237
يختصر,10
وقدامي,4
تنتظر,40
يطيب,31
السمر,55
اقول,221
اشعارا,4
يرقص,28
قصيدي,10
خيره,10
الصمت,297
تسالي,25
عني,298
بلادي,119
مطر,68
شراعي,5
الموعد,17
الخطر,29
وبحري,4
الجمر,53
والشر,10
وايامي,4
معاناة,4
الخلجان,4
والانسان,11
والاوزان,4
تنتشر,7
وحسبك,20
الانغام,17
والانسام,2
والاحلام,25
تبقي,144
تذر,15
تذكريه,1
تنادي,41
زورقي,4
الجزر,16
ويذوي,2
مهرجان,26
طيب,125
زهر,70
القمرقل,1
تامل,21
دنياه,24
حينا,130
فعاد,27
يحضن,12
دمعه,16
راعه,7
عمره,51
يتلاشي,19
تخمد,5
الاعاصير,15
شمعة,33
وصباه,1
يضيع,26
ضاع,61
نداء,42
تطوي,55
المتاهات,8
رجعه,3
يفيق,19
وتغفو,4
سنينه,5
لوعه,2
سكب,10
الدهر,498
اساه,5
رحيقا,12
فتحساه,1
جرعة,19
جرعه,5
يهيم,26
واخشي,11
تواريه,1
رحلة,59
بيني,81
وبينك,28
واش,13
ينعب,2
فعلام,15
اسهب,2
الغناء,55
واطنب,1
صوتي,113
تحس,28
برجعه,1
ولقد,157
عهدتك,6
انشد,24
تطرب,8
واراك,13
الجموع,32
فلا,752
اري,452
البشاشة,9
الملامح,17
تعشب,2
وتمر,7
عينك,26
وتهرع,1
مثلما,170
الغريب,106
مروعا,4
يتوثب,3
يكذب,13
وتظل,21
تسمعه,10
ولست,106
تكذب,9
خدعوا,2
فاعجبك,1
الخداع,16
تكن,187
بالزيف,5
المعطر,11
تعجب,11
القلوب,242
خزاءنا,1
لمشاعر,2
تزل,168
تقلب,21
لوشاة,3
ارفع,35
رايتي,5
البيضاء,68
فاسعوا,1
اديمي,5
واضربوا,2
المعارك,16
لست,338
احسن,43
خوضها,1
يحارب,7
والغريم,1
الثعلب,4
المناضل,6
والسلاح,3
دسيسة,3
المكافح,1
والعدو,3
العقرب,8
تابي,35
الرجولة,9
تدنس,2
سيفها,6
يغلب,14
المقدام,10
ساعة,146
تحتضن,8
القفار,14
رواحلي,2
والحر,8
يري,276
الملالة,1
والقفر,2
اكرم,72
يغيض,7
عطاءه,6
ويصغي,6
فينضب,1
اصدق,25
خليل,25
وده,10
متغير,2
متلون,1
متذبذب,1
ساصب,1
سمع,32
الرياح,157
قصاءدي,39
ارتجي,11
غنما,5
اتكسب,1
واصوغ,5
شفة,57
السراب,62
ملاحمي,1
الكرامة,38
يشرب,39
ازف,19
الفراق,71
اودع,16
صامتا,10
مصغ,2
لعتاب,3
فاعتب,1
احيا,58
العتاب,29
مودة,20
تغتال,11
صد,34
الصدود,21
تقرب,12
سيدي,133
مثقل,16
بالحب,101
يلمسه,1
الحنين,168
فيسكب,2
والظلم,15
محب,50
ارضاك,4
ستقال,1
فيك,474
قصاءد,41
ماجورة,2
فالمادحون,1
الجاءعون,3
تاهبوا,1
دعوي,25
الوداد,25
تجول,18
شفاهم,2
فجال,1
اشعب,4
يستوي,23
قلم,20
يباع,10
ويشتري,5
ويراعة,1
بدم,36
المحاجر,10
تكتب,35
شاعر,160
الدنيا,547
تبطن,2
ظهرها,12
شعري,195
يشرق,28
عبرها,4
ويغرب,1
الافلاك,27
كليمة,2
مني,482
شفق,24
الخلود,47
تلهب,13
الوم,24
صنعاء,79
بلقيس,21
عدنا,22
امة,180
ضيعت,34
امسها,4
يزنا,1
لوصنعاء,1
تسمعني,5
وساكني,2
عدن,41
ارهفت,1
اذنا,8
وامة,3
ميلادها,5
يمن,25
قطعت,36
يمنا,3
مزقت,26
نفسي,341
فتي,234
بفتنة,2
الوحدة,22
مفتنا,2
بنيت,14
صرحا,10
اسكنه,4
قبرا,39
نتاج,1
سكنا,12
وصغت,6
وهج,51
الاحلام,203
مدنا,21
واليوم,82
وهجا,9
ارجو,64
احسبني,3
باغت,2
يقتل,32
الاقيال,4
فانتدبي,1
اليهم,46
الهدهد,5
الوفي,9
بما,514
اءتمنا,1
قولي,63
انتم,77
ناظري,25
قذي,12
وانتم,42
معرض,10
اضلعي,57
وضنا,1
رجالا,25
ضيعوا,6
وطنا,47
امراة,157
تستنقذ,1
الوطنا,1
لغلام,1
المدل,11
الجميلات,5
مشي,52
يتهادي,20
مهفهف,11
القد,21
اكحل,8
جفونه,10
ناعمات,4
والقلب,74
كسرة,16
جندل,5
بيبي,3
عشقناك,1
عشقا,31
